Clone;molecule;conc;time;Nsurv;replicate;day
SE5;C;0.00;2;9;ControlB;15-juil
SE5;C;0.064;0;10;BA;15-juil
SE5;C;0.064;1;10;BA;15-juil
SE5;C;0.064;2;9;BA;15-juil
SE5;C;0.129;0;10;BB;15-juil
SE5;C;0.129;1;9;BB;15-juil
SE5;C;0.129;2;9;BB;15-juil
SE5;C;0.166;0;10;BC;15-juil
SE5;C;0.166;1;10;BC;15-juil
SE5;C;0.166;2;9;BC;15-juil
SE5;C;0.191;0;10;BD;15-juil
SE5;C;0.191;1;10;BD;15-juil
SE5;C;0.191;2;9;BD;15-juil
SE5;C;0.248;0;10;BE;15-juil
SE5;C;0.248;1;9;BE;15-juil
SE5;C;0.248;2;8;BE;15-juil
SE5;C;0.305;0;10;BF;15-juil
SE5;C;0.305;1;3;BF;15-juil
SE5;C;0.305;2;2;BF;15-juil
SE5;C;0.519;0;10;BG;15-juil
SE5;C;0.519;1;0;BG;15-juil
SE5;C;0.519;2;0;BG;15-juil
SE5;C;0.00;0;10;ControlC;02-sept
SE5;C;0.00;1;10;ControlC;02-sept
SE5;C;0.00;2;10;ControlC;02-sept
SE5;C;0.064;0;10;CA;02-sept
SE5;C;0.064;1;10;CA;02-sept
SE5;C;0.064;2;10;CA;02-sept
SE5;C;0.129;0;10;CB;02-sept
SE5;C;0.129;1;10;CB;02-sept
SE5;C;0.129;2;9;CB;02-sept
SE5;C;0.166;0;10;CC;02-sept
SE5;C;0.166;1;10;CC;02-sept
SE5;C;0.166;2;10;CC;02-sept
SE5;C;0.191;0;10;CD;02-sept
SE5;C;0.191;1;8;CD;02-sept
SE5;C;0.191;2;6;CD;02-sept
SE5;C;0.248;0;10;CE;02-sept
SE5;C;0.248;1;3;CE;02-sept
SE5;C;0.248;2;0;CE;02-sept
SE5;C;0.305;0;10;CF;02-sept
SE5;C;0.305;1;4;CF;02-sept
SE5;C;0.305;2;0;CF;02-sept
SE5;C;0.519;0;10;CG;02-sept
SE5;C;0.519;1;0;CG;02-sept
SE5;C;0.519;2;0;CG;02-sept
SE5;C;0.00;0;10;ControlD;08-sept
SE5;C;0.00;1;10;ControlD;08-sept
SE5;C;0.00;2;10;ControlD;08-sept
SE5;C;0.064;0;10;DA;08-sept
SE5;C;0.064;1;10;DA;08-sept
SE5;C;0.064;2;10;DA;08-sept
SE5;C;0.129;0;10;DB;08-sept
SE5;C;0.129;1;10;DB;08-sept
SE5;C;0.129;2;10;DB;08-sept
SE5;C;0.166;0;10;DC;08-sept
SE5;C;0.166;1;10;DC;08-sept
SE5;C;0.166;2;10;DC;08-sept
SE5;C;0.191;0;10;DD;08-sept
SE5;C;0.191;1;7;DD;08-sept
SE5;C;0.191;2;6;DD;08-sept
SE5;C;0.595;0;10;DE;08-sept
SE5;C;0.595;1;0;DE;08-sept
SE5;C;0.595;2;0;DE;08-sept
SE5;C;0.00;0;10;ControlE;10-sept
SE5;C;0.00;1;10;ControlE;10-sept
SE5;C;0.00;2;10;ControlE;10-sept
SE5;C;0.248;0;10;EA;10-sept
SE5;C;0.248;1;4;EA;10-sept
SE5;C;0.248;2;3;EA;10-sept
SE5;C;0.305;0;10;EB;10-sept
SE5;C;0.305;1;3;EB;10-sept
SE5;C;0.305;2;0;EB;10-sept
SE5;C;0.519;0;10;EC;10-sept
SE5;C;0.519;1;2;EC;10-sept
SE5;C;0.519;2;0;EC;10-sept
SE5;C;0.595;0;10;ED;10-sept
SE5;C;0.595;1;0;ED;10-sept
SE5;C;0.595;2;0;ED;10-sept
SE5;C;0.595;0;10;EE;10-sept
SE5;C;0.595;1;0;EE;10-sept
SE5;C;0.595;2;0;EE;10-sept
SE5;C;0.00;0;10;ControlF;15-sept
SE5;C;0.00;1;10;ControlF;15-sept
SE5;C;0.00;2;10;ControlF;15-sept
SE5;C;0.305;0;10;FA;15-sept
SE5;C;0.305;1;6;FA;15-sept
SE5;C;0.305;2;2;FA;15-sept
SE5;C;0.595;0;10;FB;15-sept
SE5;C;0.595;1;0;FB;15-sept
SE5;C;0.595;2;0;FB;15-sept
SE5;C;0.595;0;10;FC;15-sept
SE5;C;0.595;1;0;FC;15-sept
SE5;C;0.595;2;0;FC;15-sept
SE5;C;0.595;0;10;FD;15-sept
SE5;C;0.595;1;0;FD;15-sept
SE5;C;0.595;2;0;FD;15-sept
SE5;C;0.00;0;20;ControlG;16-sept
SE5;C;0.00;1;20;ControlG;16-sept
SE5;C;0.00;2;20;ControlG;16-sept
SE5;C;0.064;0;10;GA;16-sept
SE5;C;0.064;1;10;GA;16-sept
SE5;C;0.064;2;10;GA;16-sept
SE5;C;0.129;0;10;GB;16-sept
SE5;C;0.129;1;9;GB;16-sept
SE5;C;0.129;2;9;GB;16-sept
SE5;C;0.166;0;10;GC;16-sept
SE5;C;0.166;1;10;GC;16-sept
SE5;C;0.166;2;10;GC;16-sept
SE5;C;0.191;0;10;GD;16-sept
SE5;C;0.191;1;9;GD;16-sept
SE5;C;0.191;2;9;GD;16-sept
SE5;C;0.248;0;10;GE;16-sept
SE5;C;0.248;1;4;GE;16-sept
SE5;C;0.248;2;2;GE;16-sept
SE5;C;0.519;0;10;GF;16-sept
SE5;C;0.519;1;2;GF;16-sept
SE5;C;0.519;2;0;GF;16-sept
SE5;C;0.595;0;10;GH;16-sept
SE5;C;0.595;1;0;GH;16-sept
SE5;C;0.595;2;0;GH;16-sept
AL0;M;0.00;0;20;ControlA;11-juin
AL0;M;0.00;1;20;ControlA;11-juin
AL0;M;0.00;2;20;ControlA;11-juin
AL0;M;0.9930;0;10;AA;11-juin
AL0;M;0.9930;1;10;AA;11-juin
AL0;M;0.9930;2;10;AA;11-juin
AL0;M;1.255;0;10;AB;11-juin
AL0;M;1.255;1;10;AB;11-juin
AL0;M;1.255;2;10;AB;11-juin
AL0;M;1.5200;0;10;AC;11-juin
AL0;M;1.5200;1;10;AC;11-juin
AL0;M;1.5200;2;10;AC;11-juin
AL0;M;1.762;0;10;AD;11-juin
AL0;M;1.762;1;10;AD;11-juin
AL0;M;1.762;2;10;AD;11-juin
AL0;M;2.0380;0;10;AE;11-juin
AL0;M;2.0380;1;10;AE;11-juin
AL0;M;2.0380;2;10;AE;11-juin
AL0;M;3.0160;0;10;AF;11-juin
AL0;M;3.0160;1;10;AF;11-juin
AL0;M;3.0160;2;10;AF;11-juin
AL0;M;0.00;0;20;ControlB;15-juin
AL0;M;0.00;1;20;ControlB;15-juin
AL0;M;0.00;2;20;ControlB;15-juin
AL0;M;0.9930;0;10;BA;15-juin
AL0;M;0.9930;1;9;BA;15-juin
AL0;M;0.9930;2;9;BA;15-juin
AL0;M;1.255;0;10;BB;15-juin
AL0;M;1.255;1;10;BB;15-juin
AL0;M;1.255;2;10;BB;15-juin
AL0;M;1.5200;0;10;BC;15-juin
AL0;M;1.5200;1;10;BC;15-juin
AL0;M;1.5200;2;10;BC;15-juin
AL0;M;1.762;0;10;BD;15-juin
AL0;M;1.762;1;10;BD;15-juin
AL0;M;1.762;2;9;BD;15-juin
AL0;M;2.0380;0;10;BE;15-juin
AL0;M;2.0380;1;10;BE;15-juin
AL0;M;2.0380;2;10;BE;15-juin
AL0;M;3.0160;0;10;BF;15-juin
AL0;M;3.0160;1;9;BF;15-juin
AL0;M;3.0160;2;8;BF;15-juin
AL0;M;0.00;0;10;ControlC;22-juin
AL0;M;0.00;1;10;ControlC;22-juin
AL0;M;0.00;2;10;ControlC;22-juin
AL0;M;2.038;0;10;CA;22-juin
AL0;M;2.038;1;10;CA;22-juin
AL0;M;2.038;2;9;CA;22-juin
AL0;M;3.016;0;10;CB;22-juin
AL0;M;3.016;1;8;CB;22-juin
AL0;M;3.016;2;5;CB;22-juin
AL0;M;4.996;0;10;CE;22-juin
AL0;M;4.996;1;4;CE;22-juin
AL0;M;4.996;2;0;CE;22-juin
AL0;M;0.00;0;10;ControlD;23-juil
AL0;M;0.00;1;10;ControlD;23-juil
AL0;M;0.00;2;10;ControlD;23-juil
AL0;M;0.9930;0;10;DA;23-juil
AL0;M;0.9930;1;10;DA;23-juil
AL0;M;0.9930;2;10;DA;23-juil
AL0;M;1.255;0;10;DB;23-juil
AL0;M;1.255;1;10;DB;23-juil
AL0;M;1.255;2;10;DB;23-juil
AL0;M;0.00;0;10;ControlE;27-juil
AL0;M;0.00;1;10;ControlE;27-juil
AL0;M;0.00;2;10;ControlE;27-juil
AL0;M;1.5200;0;10;EA;27-juil
AL0;M;1.5200;1;10;EA;27-juil
AL0;M;1.5200;2;10;EA;27-juil
AL0;M;1.762;0;10;EB;27-juil
AL0;M;1.762;1;10;EB;27-juil
AL0;M;1.762;2;10;EB;27-juil
AL0;M;2.038;0;10;EC;27-juil
AL0;M;2.038;1;9;EC;27-juil
AL0;M;2.038;2;8;EC;27-juil
AL0;M;2.305;0;10;ED;27-juil
AL0;M;2.305;1;5;ED;27-juil
AL0;M;2.305;2;1;ED;27-juil
AL0;M;2.759;0;10;EE;27-juil
AL0;M;2.759;1;5;EE;27-juil
AL0;M;2.759;2;1;EE;27-juil
AL0;M;3.016;0;10;EF;27-juil
AL0;M;3.016;1;7;EF;27-juil
AL0;M;3.016;2;4;EF;27-juil
AL0;M;3.283;0;10;EG;27-juil
AL0;M;3.283;1;7;EG;27-juil
AL0;M;3.283;2;2;EG;27-juil
AL0;M;3.827;0;10;EH;27-juil
AL0;M;3.827;1;6;EH;27-juil
AL0;M;3.827;2;3;EH;27-juil
AL0;M;4.996;0;10;EI;27-juil
AL0;M;4.996;1;6;EI;27-juil
AL0;M;4.996;2;2;EI;27-juil
AL0;M;0.00;0;10;ControlF;28-juil
AL0;M;0.00;1;10;ControlF;28-juil
AL0;M;0.00;2;10;ControlF;28-juil
AL0;M;4.9960;0;10;FA;28-juil
AL0;M;4.9960;1;9;FA;28-juil
AL0;M;4.9960;2;1;FA;28-juil
AL0;M;0.00;0;10;ControlG;06-août
AL0;M;0.00;1;10;ControlG;06-août
AL0;M;0.00;2;9;ControlG;06-août
AL0;M;2.0380;0;10;GA;06-août
AL0;M;2.0380;1;10;GA;06-août
AL0;M;2.0380;2;10;GA;06-août
AL0;M;2.305;0;10;GB;06-août
AL0;M;2.305;1;9;GB;06-août
AL0;M;2.305;2;8;GB;06-août
AL0;M;2.759;0;10;GC;06-août
AL0;M;2.759;1;9;GC;06-août
AL0;M;2.759;2;9;GC;06-août
AL0;M;3.0160;0;10;GD;06-août
AL0;M;3.0160;1;5;GD;06-août
AL0;M;3.0160;2;4;GD;06-août
AL0;M;3.283;0;10;GE;06-août
AL0;M;3.283;1;8;GE;06-août
AL0;M;3.283;2;8;GE;06-août
AL0;M;3.827;0;10;GF;06-août
AL0;M;3.827;1;2;GF;06-août
AL0;M;3.827;2;0;GF;06-août
AL0;M;0.00;0;10;ControlH;11-août
AL0;M;0.00;1;10;ControlH;11-août
AL0;M;0.00;2;10;ControlH;11-août
AL0;M;3.827;0;10;HA;11-août
AL0;M;3.827;1;7;HA;11-août
AL0;M;3.827;2;1;HA;11-août
AL0;M;4.9960;0;10;HB;11-août
AL0;M;4.9960;1;6;HB;11-août
AL0;M;4.9960;2;0;HB;11-août
AL0;M;0.00;0;10;ControlI;13-août
AL0;M;0.00;1;10;ControlI;13-août
AL0;M;0.00;2;10;ControlI;13-août
AL0;M;1.762;0;10;IA;13-août
AL0;M;1.762;1;9;IA;13-août
AL0;M;1.762;2;9;IA;13-août
AL0;M;2.305;0;10;IB;13-août
AL0;M;2.305;1;6;IB;13-août
AL0;M;2.305;2;5;IB;13-août
AL0;M;2.759;0;10;IC;13-août
AL0;M;2.759;1;8;IC;13-août
AL0;M;2.759;2;4;IC;13-août
AL0;M;3.283;0;10;ID;13-août
AL0;M;3.283;1;6;ID;13-août
AL0;M;3.283;2;1;ID;13-août
AL0;M;0.00;0;10;ControlJ;19-août
AL0;M;0.00;1;10;ControlJ;19-août
AL0;M;0.00;2;10;ControlJ;19-août
AL0;M;1.762;0;10;JA;19-août
AL0;M;1.762;1;10;JA;19-août
AL0;M;1.762;2;10;JA;19-août
AL0;M;2.759;0;10;JB;19-août
AL0;M;2.759;1;3;JB;19-août
AL0;M;2.759;2;2;JB;19-août
AL0;M;3.827;0;10;JC;19-août
AL0;M;3.827;1;3;JC;19-août
AL0;M;3.827;2;1;JC;19-août
AL0;M;4.9960;0;10;JD;19-août
AL0;M;4.9960;1;5;JD;19-août
AL0;M;4.9960;2;0;JD;19-août
AL0;M;0.00;0;10;ControlK;25-août
AL0;M;0.00;1;10;ControlK;25-août
AL0;M;0.00;2;10;ControlK;25-août
AL0;M;1.5200;0;10;KA;25-août
AL0;M;1.5200;1;9;KA;25-août
AL0;M;1.5200;2;8;KA;25-août
AL0;M;3.283;0;10;KB;25-août
AL0;M;3.283;1;1;KB;25-août
AL0;M;3.283;2;1;KB;25-août
AL0;M;3.827;0;10;KC;25-août
AL0;M;3.827;1;2;KC;25-août
AL0;M;3.827;2;1;KC;25-août
AL0;M;0.00;0;10;ControlL;27-août
AL0;M;0.00;1;10;ControlL;27-août
AL0;M;0.00;2;9;ControlL;27-août
AL0;M;2.305;0;10;LA;27-août
AL0;M;2.305;1;9;LA;27-août
AL0;M;2.305;2;6;LA;27-août
AL0;M;2.759;0;10;LB;27-août
AL0;M;2.759;1;6;LB;27-août
AL0;M;2.759;2;4;LB;27-août
AL0;M;3.283;0;10;LC;27-août
AL0;M;3.283;1;2;LC;27-août
AL0;M;3.283;2;0;LC;27-août
AL0;M;0.00;0;20;ControlM;09-sept
AL0;M;0.00;1;19;ControlM;09-sept
AL0;M;0.00;2;19;ControlM;09-sept
AL0;M;0.9930;0;10;MA;09-sept
AL0;M;0.9930;1;10;MA;09-sept
AL0;M;0.9930;2;10;MA;09-sept
AL0;M;0.9930;0;10;MB;09-sept
AL0;M;0.9930;1;10;MB;09-sept
AL0;M;0.9930;2;10;MB;09-sept
AL0;M;1.255;0;10;MC;09-sept
AL0;M;1.255;1;9;MC;09-sept
AL0;M;1.255;2;9;MC;09-sept
AL0;M;1.255;0;10;MD;09-sept
AL0;M;1.255;1;10;MD;09-sept
AL0;M;1.255;2;9;MD;09-sept
AL0;M;1.5200;0;10;ME;09-sept
AL0;M;1.5200;1;4;ME;09-sept
AL0;M;1.5200;2;4;ME;09-sept
AL0;M;2.305;0;10;MF;09-sept
AL0;M;2.305;1;1;MF;09-sept
AL0;M;2.305;2;1;MF;09-sept
GO6;M;0.00;0;10;ControlA;28-juil
GO6;M;0.00;1;10;ControlA;28-juil
GO6;M;0.00;2;10;ControlA;28-juil
GO6;M;4.9960;0;10;AA;28-juil
GO6;M;4.9960;1;0;AA;28-juil
GO6;M;4.9960;2;0;AA;28-juil
GO6;M;0.00;0;10;ControlB;04-août
GO6;M;0.00;1;10;ControlB;04-août
GO6;M;0.00;2;10;ControlB;04-août
GO6;M;0.507;0;10;BA;04-août
GO6;M;0.507;1;9;BA;04-août
GO6;M;0.507;2;9;BA;04-août
GO6;M;0.9930;0;10;BB;04-août
GO6;M;0.9930;1;6;BB;04-août
GO6;M;0.9930;2;3;BB;04-août
GO6;M;1.255;0;10;BC;04-août
GO6;M;1.255;1;2;BC;04-août
GO6;M;1.255;2;1;BC;04-août
GO6;M;1.5200;0;10;BD;04-août
GO6;M;1.5200;1;0;BD;04-août
GO6;M;1.5200;2;0;BD;04-août
GO6;M;1.762;0;10;BE;04-août
GO6;M;1.762;1;0;BE;04-août
GO6;M;1.762;2;0;BE;04-août
GO6;M;3.0160;0;10;BF;04-août
GO6;M;3.0160;1;0;BF;04-août
GO6;M;3.0160;2;0;BF;04-août
GO6;M;0.00;0;10;ControlC;05-août
GO6;M;0.00;1;10;ControlC;05-août
GO6;M;0.00;2;10;ControlC;05-août
GO6;M;2.0380;0;10;CA;05-août
GO6;M;2.0380;1;2;CA;05-août
GO6;M;2.0380;2;1;CA;05-août
GO6;M;0.00;0;10;ControlD;06-août
GO6;M;0.00;1;10;ControlD;06-août
GO6;M;0.00;2;10;ControlD;06-août
GO6;M;0.507;0;10;DA;06-août
GO6;M;0.507;1;10;DA;06-août
GO6;M;0.507;2;9;DA;06-août
GO6;M;0.9930;0;10;DB;06-août
GO6;M;0.9930;1;6;DB;06-août
GO6;M;0.9930;2;4;DB;06-août
GO6;M;1.255;0;10;DC;06-août
GO6;M;1.255;1;3;DC;06-août
GO6;M;1.255;2;0;DC;06-août
GO6;M;1.5200;0;10;DD;06-août
GO6;M;1.5200;1;3;DD;06-août
GO6;M;1.5200;2;0;DD;06-août
GO6;M;0.00;0;10;EControl;12-août
GO6;M;0.00;1;10;EControl;12-août
GO6;M;0.00;2;9;EControl;12-août
GO6;M;0.258;0;10;EA;12-août
GO6;M;0.258;1;10;EA;12-août
GO6;M;0.258;2;10;EA;12-août
GO6;M;0.258;0;10;EB;12-août
GO6;M;0.258;1;9;EB;12-août
GO6;M;0.258;2;9;EB;12-août
GO6;M;0.00;0;10;ControlF;18-août
GO6;M;0.00;1;10;ControlF;18-août
GO6;M;0.00;2;10;ControlF;18-août
GO6;M;1.762;0;10;FA;18-août
GO6;M;1.762;1;0;FA;18-août
GO6;M;1.762;2;0;FA;18-août
GO6;M;2.0380;0;10;FB;18-août
GO6;M;2.0380;1;0;FB;18-août
GO6;M;2.0380;2;0;FB;18-août
GO6;M;3.0160;0;10;FC;18-août
GO6;M;3.0160;1;0;FC;18-août
GO6;M;3.0160;2;0;FC;18-août
GO6;M;4.9960;0;10;FD;18-août
GO6;M;4.9960;1;0;FD;18-août
GO6;M;4.9960;2;0;FD;18-août
GO6;M;0.00;0;10;ControlG;19-août
GO6;M;0.00;1;10;ControlG;19-août
GO6;M;0.00;2;10;ControlG;19-août
GO6;M;0.507;0;10;GA;19-août
GO6;M;0.507;1;10;GA;19-août
GO6;M;0.507;2;8;GA;19-août
GO6;M;0.9930;0;10;GB;19-août
GO6;M;0.9930;1;6;GB;19-août
GO6;M;0.9930;2;4;GB;19-août
GO6;M;1.255;0;10;GC;19-août
GO6;M;1.255;1;2;GC;19-août
GO6;M;1.255;2;1;GC;19-août
GO6;M;1.5200;0;10;GD;19-août
GO6;M;1.5200;1;0;GD;19-août
GO6;M;1.5200;2;0;GD;19-août
GO6;M;1.762;0;10;GE;19-août
GO6;M;1.762;1;0;GE;19-août
GO6;M;1.762;2;0;GE;19-août
GO6;M;2.0380;0;10;GF;19-août
GO6;M;2.0380;1;0;GF;19-août
GO6;M;2.0380;2;0;GF;19-août
GO6;M;3.0160;0;10;GH;19-août
GO6;M;3.0160;1;0;GH;19-août
GO6;M;3.0160;2;0;GH;19-août
GO6;M;0.00;0;10;ControlH;25-août
GO6;M;0.00;1;10;ControlH;25-août
GO6;M;0.00;2;10;ControlH;25-août
GO6;M;0.258;0;10;HA;25-août
GO6;M;0.258;1;10;HA;25-août
GO6;M;0.258;2;10;HA;25-août
GO6;M;0.258;0;10;HB;25-août
GO6;M;0.258;1;9;HB;25-août
GO6;M;0.258;2;8;HB;25-août
GO6;M;0.507;0;10;HC;25-août
GO6;M;0.507;1;9;HC;25-août
GO6;M;0.507;2;8;HC;25-août
GO6;M;0.9930;0;10;HD;25-août
GO6;M;0.9930;1;0;HD;25-août
GO6;M;0.9930;2;0;HD;25-août
GO6;M;1.255;0;10;HE;25-août
GO6;M;1.255;1;0;HE;25-août
GO6;M;1.255;2;0;HE;25-août
GO6;M;1.5200;0;10;HF;25-août
GO6;M;1.5200;1;0;HF;25-août
GO6;M;1.5200;2;0;HF;25-août
GO6;M;1.762;0;10;HG;25-août
GO6;M;1.762;1;0;HG;25-août
GO6;M;1.762;2;0;HG;25-août
GO6;M;2.0380;0;10;HH;25-août
GO6;M;2.0380;1;0;HH;25-août
GO6;M;2.0380;2;0;HH;25-août
GO6;M;0.00;0;10;ControlI;26-août
GO6;M;0.00;1;10;ControlI;26-août
GO6;M;0.00;2;10;ControlI;26-août
GO6;M;3.0160;0;10;IA;26-août
GO6;M;3.0160;1;0;IA;26-août
GO6;M;3.0160;2;0;IA;26-août
GO6;M;4.9960;0;10;IB;26-août
GO6;M;4.9960;1;0;IB;26-août
GO6;M;4.9960;2;0;IB;26-août
GO6;M;0.00;0;10;ControlJ;01-sept
GO6;M;0.00;1;10;ControlJ;01-sept
GO6;M;0.00;2;10;ControlJ;01-sept
GO6;M;0.258;0;10;JA;01-sept
GO6;M;0.258;1;10;JA;01-sept
GO6;M;0.258;2;10;JA;01-sept
GO6;M;0.507;0;10;JB;01-sept
GO6;M;0.507;1;9;JB;01-sept
GO6;M;0.507;2;9;JB;01-sept
GO6;M;0.9930;0;10;JC;01-sept
GO6;M;0.9930;1;8;JC;01-sept
GO6;M;0.9930;2;4;JC;01-sept
GO6;M;4.9960;0;10;JD;01-sept
GO6;M;4.9960;1;0;JD;01-sept
GO6;M;4.9960;2;0;JD;01-sept
GO6;M;4.9960;0;10;JE;01-sept
GO6;M;4.9960;1;0;JE;01-sept
GO6;M;4.9960;2;0;JE;01-sept
GO6;M;0.00;0;10;ControlK;15-sept
GO6;M;0.00;1;10;ControlK;15-sept
GO6;M;0.00;2;10;ControlK;15-sept
GO6;M;1.255;0;10;KA;15-sept
GO6;M;1.255;1;0;KA;15-sept
GO6;M;1.255;2;0;KA;15-sept
GO6;M;1.5200;0;10;KB;15-sept
GO6;M;1.5200;1;0;KB;15-sept
GO6;M;1.5200;2;0;KB;15-sept
GO6;M;1.762;0;10;KC;15-sept
GO6;M;1.762;1;0;KC;15-sept
GO6;M;1.762;2;0;KC;15-sept
GO6;M;2.0380;0;10;KD;15-sept
GO6;M;2.0380;1;0;KD;15-sept
GO6;M;2.0380;2;0;KD;15-sept
GO6;M;3.0160;0;10;KE;15-sept
GO6;M;3.0160;1;0;KE;15-sept
GO6;M;3.0160;2;0;KE;15-sept
LA0;M;0.00;0;10;ControlA;25-août
LA0;M;0.00;1;10;ControlA;25-août
LA0;M;0.00;2;10;ControlA;25-août
LA0;M;0.507;0;10;AA;25-août
LA0;M;0.507;1;9;AA;25-août
LA0;M;0.507;2;6;AA;25-août
LA0;M;0.9930;0;10;AB;25-août
LA0;M;0.9930;1;1;AB;25-août
LA0;M;0.9930;2;0;AB;25-août
LA0;M;1.255;0;10;AC;25-août
LA0;M;1.255;1;0;AC;25-août
LA0;M;1.255;2;0;AC;25-août
LA0;M;1.5200;0;10;AD;25-août
LA0;M;1.5200;1;0;AD;25-août
LA0;M;1.5200;2;0;AD;25-août
LA0;M;2.0380;0;10;AE;25-août
LA0;M;2.0380;1;0;AE;25-août
LA0;M;2.0380;2;0;AE;25-août
LA0;M;0.00;0;10;ControlB;26-août
LA0;M;0.00;1;10;ControlB;26-août
LA0;M;0.00;2;10;ControlB;26-août
LA0;M;1.762;0;10;BA;26-août
LA0;M;1.762;1;1;BA;26-août
LA0;M;1.762;2;0;BA;26-août
LA0;M;3.0160;0;10;BB;26-août
LA0;M;3.0160;1;0;BB;26-août
LA0;M;3.0160;2;0;BB;26-août
LA0;M;0.00;0;20;ControlC;27-août
LA0;M;0.00;1;20;ControlC;27-août
